Timestamp,Укажите ваш пол,"Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь",Укажите номер вашего класса,Время в которое у вас начинаются уроки/пары,Выберите ваш первый любимый предмет,Почему вам нравится этот предмет?,Ваш второй любимый предмет,Почему вам нравится этот предмет?,Сколько часов вы тратите в день на домашнее задание?,Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?,,,Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?,Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?,"Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?",Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?,Насколько вы в целом удовлетворены своим учебным заведением?,Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?,Сколько в среднем вы спите по будням?,Делаете ли вы утром зарядку?,Сколько времени у вас занимает дорога от дома до школы?,На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?,Когда вы делаете домашнее задание?,
2018/03/31 7:55:03 PM GMT+3,Мужской,,,10,8:30,математика,Оба варианта,иностранный язык,Мне интересен сам предмет,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,30,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/01 12:05:10 PM GMT+3,Мужской,,,11,8:30,математика,Мне интересен сам предмет,иностранный язык,Мне интересен сам предмет,1-3 часа,до 3 часов в неделю,,,,,,,Немного неудовлетворен/на,Небольшое,5:00,Нет,13,Терпимое,Комбинированно,Гимназия 22
2018/04/01 12:11:55 PM GMT+3,Мужской,,,10,9:00,математика,Мне интересен сам предмет,иностранный язык,Мне интересен сам предмет,1-3 часа,больше 7 часов в неделю,,,,,,,Слегка удовлетворен/на,Небольшое,7:10,Да,35,Терпимое,Комбинированно,Школа 61
2018/04/01 5:02:17 PM GMT+3,Мужской,,,10,8:30,математика,Мне интересен сам предмет,астрономия,Мне интересен сам предмет,до 1 часа,больше 7 часов в неделю,,,,,,,Немного неудовлетворен/на,Небольшое,7:00,Да,40,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:10:25 PM GMT+3,Женский,,,10,8:30,белорусская литература,Оба варианта,русская литература,Оба варианта,1-3 часа,Не занимаюсь вообще,,,,,,,Очень удовлетворен/на,Сильное,7:00,Нет,35,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:10:50 PM GMT+3,Женский,,,11,8:30,иностранный язык,Мне интересен сам предмет,математика,Мне интересен сам предмет,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,7:00,Нет,35,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:11:06 PM GMT+3,Женский,,,10,8:30,математика,Мне интересен сам предмет,информатика,Его интересно преподают,1-3 часа,от 3 до 7 в неделю,,,,,,,Сильно неудовлетворен/на,Сильное,7:00,Нет,30,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:11:14 PM GMT+3,Женский,,,10,8:30,обществоведение,Оба варианта,иностранный язык,Его интересно преподают,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,"6:00, 7:00",Нет,50,Отличное,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:12:43 PM GMT+3,Мужской,,,11,8:30,математика,Оба варианта,физкультура,Оба варианта,1-3 часа,больше 7 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,40,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:14:12 PM GMT+3,Женский,,,11,8:30,белорусская литература,Оба варианта,русская литература,Оба варианта,больше 3 часов,до 3 часов в неделю,,,,,,,Слегка удовлетворен/на,Сильное,6:30,Нет,5,Терпимое,Комбинированно,Лицей БГУ
